Integrated_Pathway,Gene,Source_Pathway
Protein Phosphorylation,CALM3,GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CAMK1,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CAMK1D,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CAMK1G,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CAMK2A,GOBP_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING
Protein Phosphorylation,CAMK2B,GOBP_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE
Protein Phosphorylation,CAMK2D,GOBP_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING
Protein Phosphorylation,CAMK2G,REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE
Protein Phosphorylation,CAMK2N1,GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CAMK2N2,GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CAMK4,GOBP_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE
Protein Phosphorylation,CAMKK1,GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE
Protein Phosphorylation,CAMKK2,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB | REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE
Protein Phosphorylation,CAMKV,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CAMP,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CAPRIN2,GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CARD10,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CARD14,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CARTPT,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CASP3,GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CASP7,HALLMARK_OXIDATIVE_PHOSPHORYLATION
Protein Phosphorylation,CASP9,REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL
Protein Phosphorylation,CASS4,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CAV1,GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN | GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_PROTEIN_AUTOPHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN
Protein Phosphorylation,CAV3,GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CBL,GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CBLB,GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CBLC,GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CBS,GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCDC88A,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCDC88C,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCL11,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CCL19,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCL2,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CCL21,GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCL5,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN
Protein Phosphorylation,CCN1,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCN2,GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNA1,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION
Protein Phosphorylation,CCNA2,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION
Protein Phosphorylation,CCNB1,GOBP_OXIDATIVE_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_PHOSPHORYLATION_OF_EMI1 | REACTOME_PHOSPHORYLATION_OF_THE_APC_C
Protein Phosphorylation,CCNB2,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNB3,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCND1,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCND2,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCND3,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNE1,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNE2,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNF,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNG1,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNG2,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNH,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNI,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNI2,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNJ,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNJL,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNK,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOMF_RNA_POLYMERASE_II_CTD_HEPTAPEPTIDE_REPEAT_KINASE_ACTIVITY | GOMF_RNA_POLYMERASE_II_CTD_HEPTAPEPTIDE_REPEAT_MODIFYING_ACTIVITY
Protein Phosphorylation,CCNL1,GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNO,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNP,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNT1,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNT2,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNY,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNYL1,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNYL2,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCNYL3,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CCR7,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD109,GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD24,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD247,REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
Protein Phosphorylation,CD300A,GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD36,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD3D,REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
Protein Phosphorylation,CD3E,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
Protein Phosphorylation,CD3G,REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
Protein Phosphorylation,CD4,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
Protein Phosphorylation,CD40,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN
Protein Phosphorylation,CD40LG,GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD44,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD6,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD74,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD80,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD81,GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CD86,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CDC16,REACTOME_PHOSPHORYLATION_OF_THE_APC_C
Protein Phosphorylation,CDC20,REACTOME_PHOSPHORYLATION_OF_EMI1
Protein Phosphorylation,CDC23,REACTOME_PHOSPHORYLATION_OF_THE_APC_C
Protein Phosphorylation,CDC25A,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CDC25B,GOBP_PHOSPHORYLATION | GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CDC25C,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CDC26,REACTOME_PHOSPHORYLATION_OF_THE_APC_C
Protein Phosphorylation,CDC27,REACTOME_PHOSPHORYLATION_OF_THE_APC_C
Protein Phosphorylation,CDC37,GOBP_PHOSPHORYLATION | GOBP_REGULATION_OF_PHOSPHORYLATION | GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION
Protein Phosphorylation,CDC42BPA,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CDC42BPB,GOBP_PHOSPHORYLATION
Protein Phosphorylation,CDC42BPG,GOBP_PHOSPHORYLATION
